lightcurve_x,lightcurve_y
1.0,0.9689314480266555
1.0,0.9663395813143284
1.0,0.9639376439090864
1.0,0.9617535453992322
1.0,0.959813416594137
1.0,0.9581416554816541
1.0,0.9567609219856433
1.0,0.9556920864882597
1.0,0.9549541338437193
1.0,0.9545640219760603
1.0,0.9545364917554732
1.0,0.9548838223967314
1.0,0.9556155238395623
1.0,0.9567379541239048
1.0,0.958253845207042
1.0,0.960161714289937
1.0,0.9624551283952647
1.0,0.9651217757285316
1.0,0.9681422747603071
1.0,0.971488614357537
1.0,0.9751220522981033
1.0,0.9789901761879956
1.0,0.9830225817109782
1.0,0.9871240668701373
1.0,0.9911628175593165
1.0,0.9949466158191252
1.0,0.998160680222327
