id,period_x,duration,depth,period_y,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
5821050,83563.88069388647,28512.0,0.0171292096437327,1.9333686,2.7e-06,54953.930478,0.109535,0.97,76.1978,6.393,12.142,6764.0,False
5823121,99530.60326852753,28512.0,0.0080133543713252,2.2980007,3.5e-06,54965.628732,0.150153,0.79,76.3331,6.129,13.89,5283.0,True
5866099,30559.512219213382,28512.0,4.83158789733447e-05,36.976706,0.0001884,54966.63221,0.034606,0.06,72.5107,13.5921,13.698,5366.0,False
5866138,143380.32076408574,28512.0,0.0001337525571769,342.3,0.0038107,54926.772963,0.48967,0.05,72.4558,13.5548,11.07,5078.0,False
5871918,218432.31047891438,12960.0,0.0045738145750612,12.6432974,4.09e-05,54972.75983,0.032969,0.11,73.0981,12.2757,15.701,4021.0,False
5872150,30511.351239304742,28512.0,9.627749566874077e-05,20.3551034,8.11e-05,54967.645862,0.04048,0.08,73.1247,12.2243,14.557,5816.0,True
5872696,37285.75800875834,4320.0,0.0019886281947719,0.1726132,1e-07,54953.79871,0.009822,0.99,73.2243,12.1282,11.854,-1.0,False
5877364,31780.035752737116,28512.0,2.4311538915252544e-05,89.6485376,0.0006381,54996.428536,-1.0,-1.0,73.7631,11.0765,8.88,-1.0,True
5880320,30743.930595607475,28512.0,7.815018340235133e-05,12.1096393,3.85e-05,54973.212603,0.104426,0.2,74.0253,10.4267,14.348,6400.0,True
5887316,52083.1687516611,28512.0,0.0007301449106286,0.6030807,5e-07,54964.667064,0.007511,0.55,74.6927,9.1036,13.989,6216.0,False
5891963,36551.063964637804,28512.0,0.0018430313908353,0.28196,2e-07,54949.819126,0.015376,0.95,75.1356,8.3747,13.602,5526.0,False
5897826,30317.88097030593,28512.0,3.966698183924826e-05,33.8042028,0.0001642,54967.628858,0.116761,0.13,75.5977,7.5065,13.109,5661.0,True
5951553,37323.02253799978,28512.0,0.0234547236426547,0.4319709,3e-07,54965.011318,0.023008,0.95,72.8001,13.2424,15.343,5863.0,False
5952403,39117.901286387525,4320.0,0.0024687336941428,0.9056778,9e-07,54965.197892,0.014736,0.53,72.8685,13.0527,6.966,-1.0,True
5955321,509442.9306718035,4320.0,0.0048414948246101,11.6378818,3.63e-05,54975.752564,0.024722,0.16,73.1161,12.4225,15.385,6169.0,False
5955731,43473.39954380252,21600.0,0.0111329664629091,1.0038296,1e-06,54954.553889,0.053372,0.99,73.1655,12.34,12.993,-1.0,False
5960283,32352.01811391834,28512.0,0.0122616930731758,0.2496681,1e-07,55110.101764,0.014553,0.94,73.6866,11.3288,15.761,5308.0,False
5960989,31333.691542400935,28512.0,4.433738956620535e-05,50.7215338,0.0002985,54983.68651,-1.0,-1.0,73.7882,11.1794,12.51,6074.0,False
5961327,38804.22052703753,28512.0,0.0812123666858099,0.299202,2e-07,54964.708008,0.015779,0.76,73.8531,11.1144,15.417,4842.0,False
5961350,227300.95728786036,8640.0,0.0004891140607699,5.2626684,1.15e-05,54958.099691,0.018949,0.14,73.8524,11.1079,13.537,6869.0,False
5962716,77967.25221974286,12960.0,0.0179661088806698,1.8046081,2.5e-06,54965.389949,0.023752,0.47,73.9416,10.787,13.877,6035.0,False
5963222,105166.3197195296,8640.0,0.006508754228488,1.2172663,1.4e-06,54954.155382,0.024531,0.55,74.041,10.7049,13.371,6555.0,False
5965819,30896.030080100223,28512.0,9.174439557683748e-05,8.2400554,2.21e-05,55143.757424,0.046852,0.28,74.3056,10.2003,15.024,5718.0,False
5975712,49080.26668269173,28512.0,0.002794000949139,1.1360932,1.2e-06,54953.90719,0.054603,0.87,75.2134,8.5062,11.507,-1.0,False
5977736,68230.52420015408,28512.0,0.0094639164192022,1.5791302,2e-06,55003.038327,0.096316,0.8,75.3455,8.1913,13.172,7661.0,False
5978521,52535.36091660827,12960.0,0.0198693664520945,0.6081507,5e-07,54964.694901,0.033909,0.94,75.4387,8.089,13.676,6439.0,False
5979863,30305.977837141207,28512.0,0.0001422919861321,16.6218542,6.08e-05,54966.551875,0.027927,0.07,75.5739,7.9046,15.229,5698.0,False
5982353,845336.5905051103,21600.0,0.0001757892462084,19.563095,7.51e-05,54967.353946,0.048433,0.1,75.7457,7.5472,11.115,5961.0,True
5983348,32368.234161198492,28512.0,0.000143390534194,25.1507843,0.0001079,54983.344883,0.048482,0.08,75.8145,7.4059,15.048,5680.0,False
5983532,31184.68338326422,28512.0,9.886197806242104e-05,147.2884485,0.0013735,55232.092211,0.048826,0.01,75.7956,7.3549,15.05,4298.0,False
5984000,41876.17028772681,4320.0,0.1161211700179296,0.3230583,2e-07,54964.653132,0.019863,0.82,75.8702,7.3069,14.431,5414.0,False
5988465,152262.1572927575,28512.0,0.0001885563043847,7.0565264,1.75e-05,54960.118623,0.378107,0.76,76.2828,6.6928,11.418,8661.0,False
5990753,32395.31357272865,28512.0,6.639846052025738e-05,7.2165917,1.81e-05,55002.947127,0.025778,0.15,76.4264,6.3923,10.916,4886.0,False
5991936,34920.70155721754,28512.0,0.0006441018985649,0.8074357,8e-07,55007.926256,0.034112,0.98,76.5016,6.2241,13.424,8630.0,False
5992270,30525.794253642976,28512.0,0.0002735688579762,58.4306798,0.0003682,55001.391176,0.093069,0.04,76.5053,6.1619,14.782,4222.0,False
6024572,35844.24064434832,28512.0,0.1016196300863005,0.4149096,3e-07,54964.652469,0.025303,0.86,71.5471,16.1262,15.521,6224.0,False
6025124,953879.3962520508,28512.0,0.0007166058979677,26.8377244,0.0001226,54991.124338,0.011879,0.01,71.7023,15.9515,14.426,5931.0,False
6025466,99093.57986640406,28512.0,0.0222532045237384,1.1278008,1.3e-06,54953.774098,0.011505,0.45,71.7273,15.836,13.122,5815.0,False
6026204,98521.38876523751,28512.0,0.0025355585182326,2.2798149,3.5e-06,54953.943599,0.12863,0.98,71.7833,15.5687,11.615,8418.0,False
6028860,36465.37002879615,4320.0,0.0006890758257836,0.8440331,8e-07,55003.147571,0.009008,0.47,72.2213,14.719,14.403,5401.0,False
6029130,551586.6315822887,4320.0,0.0062133866355348,12.591632,4.09e-05,54967.742093,0.032899,0.1,72.2179,14.62,14.832,5160.0,False
6029214,35398.81881738512,8640.0,0.027894311139054,0.8190664,8e-07,54954.334142,0.020332,0.6,72.2879,14.6201,12.927,-1.0,False
6034812,31747.525024816994,28512.0,0.0154161093120248,0.3673068,2e-07,54953.667262,0.020951,0.93,72.9345,13.0418,12.822,-1.0,False
6042031,30562.18168020862,28512.0,2.8685379394282647e-05,0.5371037,4e-07,54964.565621,0.013826,0.59,73.7265,11.4523,13.078,5221.0,False
6042116,467140.800366731,4320.0,0.0033861551453156,5.4071576,1.2e-05,54958.780702,0.036997,0.27,73.7881,11.4591,11.3,-1.0,True
6042191,36878.877215675966,28512.0,6.341167986405205e-05,43.3909231,0.0002376,54981.274403,-1.0,-1.0,73.7234,11.4067,13.158,4986.0,False
