id,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
4476900,0.2796663,2e-07,55000.141708,0.017146,0.78,73.2886,8.4869,15.745,5222.0,False
9508052,0.2799961,2e-07,54964.649508,0.017348,0.91,75.474,19.8518,15.923,5004.0,False
9357030,0.2804421,2e-07,55001.917598,0.015656,0.93,79.6588,10.05,15.536,5452.0,False
11352791,0.2805193,3.5e-06,55000.163545,0.0169,0.92,81.3525,13.9582,15.577,6059.0,False
5786545,0.2805751,2e-07,55001.987489,0.015041,0.75,73.0232,12.2312,15.432,4954.0,False
9272276,0.280613,2e-07,54953.698094,0.01677,0.81,76.6138,15.8738,13.16,5560.0,False
9527167,0.2808953,2e-07,55002.154036,0.016074,0.97,78.331,13.2389,15.523,5412.0,False
9179806,0.2809633,2e-07,54964.81227,0.017681,0.84,80.3704,8.1437,15.173,5189.0,False
7272739,0.2811646,2e-07,54964.852294,0.015867,0.77,74.1809,13.9852,12.961,5192.0,True
10600319,0.2815156,2e-07,54964.868221,0.016,0.94,79.8916,14.0986,14.941,4848.0,False
5218385,0.2815375,2e-07,54964.580677,0.016167,0.78,75.5737,6.0973,14.616,5260.0,False
7269797,0.2817924,2e-07,54964.708488,0.017434,0.86,73.8569,14.7748,15.637,5163.0,False
5891963,0.28196,2e-07,54949.819126,0.015376,0.95,75.1356,8.3747,13.602,5526.0,False
7199353,0.2819867,2e-07,54964.814394,0.017115,0.78,74.9482,12.2056,14.49,5166.0,False
10350225,0.2820697,2e-07,54964.827478,0.017899,0.8,80.6392,11.5978,14.781,5455.0,False
8626039,0.2828906,3.2e-06,55000.051783,0.04617,0.85,77.0292,12.5548,16.821,-1.0,False
6267702,0.2831963,2e-07,54999.949686,0.015792,0.9,71.9027,16.1472,15.593,5065.0,False
1433410,0.2832752,3.1e-06,54999.951811,0.014174,0.74,69.8401,9.5895,14.119,6003.0,False
8242493,0.2832856,2e-07,54964.621844,0.015407,0.75,77.4263,10.5964,14.697,4985.0,False
6929869,0.283692,2e-07,55000.093721,0.015835,0.96,72.6536,16.4882,15.536,4992.0,False
7440742,0.2839922,2e-07,54949.928411,0.013575,0.73,74.8861,12.965,11.831,4834.0,False
9533706,0.2841181,3e-07,55002.123818,0.016446,0.78,79.1668,11.6515,15.431,5675.0,False
4241946,0.284384,2e-07,54999.914195,0.0162,0.75,69.6698,15.3414,15.795,4663.0,False
11405559,0.2849367,2e-07,54964.84459,0.015735,0.75,81.5037,13.9368,13.692,5232.0,False
8677949,0.2849507,2e-07,55001.951829,0.016588,0.93,75.4926,16.1422,15.898,4819.0,False
11036301,0.2852372,2e-07,54964.715182,0.016297,0.95,81.3669,12.6758,15.121,4708.0,False
7367833,0.2861988,2e-07,54964.861266,0.016739,0.77,75.7316,11.0716,15.342,5799.0,False
5459373,0.2866088,2e-07,54964.670887,0.016763,0.97,74.2706,8.9935,15.091,4982.0,False
11444780,0.2867135,2e-07,54964.58988,0.014005,0.73,79.6611,18.5049,15.732,4566.0,False
8280135,0.286885,2e-07,54964.797973,0.016203,0.97,73.8044,18.5696,15.653,5317.0,False
4073678,0.2882443,2.7e-06,54927.892568,0.009519,0.67,73.1669,7.795,15.447,5763.0,False
11341950,0.2883712,2e-07,54964.806734,0.015854,0.74,79.8505,17.4823,14.924,5511.0,False
5699617,0.2889166,2e-07,54964.792095,0.016878,0.77,72.8265,12.4827,14.971,4817.0,False
6467389,0.288976,2e-07,54953.686178,0.017779,0.79,76.6095,7.3213,13.132,5183.0,False
9882280,0.289075,2e-07,54964.87713,0.015868,0.77,77.6393,16.3034,14.516,5343.0,False
4758092,0.289166,2e-07,54964.779256,0.016704,0.9,73.5467,8.6477,15.42,5682.0,False
9664382,0.290754,4e-07,54999.946674,0.041055,0.75,80.162,10.099,16.584,4936.0,False
11295026,0.2908549,2e-07,54953.888646,0.017971,0.9,80.6304,15.2738,12.81,4988.0,False
10322582,0.2912692,2e-07,54964.559511,0.017759,0.88,77.243,19.2051,14.795,5806.0,False
6128248,0.2917436,2e-07,54964.750595,0.017248,0.76,74.3653,10.4322,15.166,4867.0,False
5008287,0.2918775,2e-07,54964.561803,0.017328,0.94,72.3917,11.4344,15.313,5881.0,False
11135978,0.2920594,2e-07,54953.926345,0.015543,0.75,80.3893,15.0164,12.331,5004.0,False
4661397,0.2923249,2e-07,54964.689325,0.018429,0.92,72.9406,9.4186,15.373,5546.0,False
9995981,0.2932666,2e-07,54964.846777,0.018254,0.87,76.8345,18.7941,15.585,5328.0,False
10847118,0.2935526,2e-07,54964.702947,0.017923,0.82,78.3196,18.6759,13.965,5528.0,False
3730067,0.2940786,2e-07,54964.887243,0.00979,0.62,69.5233,14.5179,14.61,4099.0,True
3454864,0.2941204,2e-07,54964.780262,0.013257,0.69,72.0952,8.4468,13.731,5791.0,False
9145846,0.2944796,2e-07,54964.702271,0.01615,0.96,76.5121,15.7682,15.161,4745.0,False
12153332,0.2946266,2e-07,54953.871096,0.016708,0.88,81.5358,17.6787,13.077,5367.0,False
2302092,0.2946734,2e-07,54964.690581,0.025649,0.88,70.2621,10.1328,14.44,5245.0,False
4950505,0.2948091,2e-07,54964.865804,0.019584,0.83,74.9806,6.5162,14.689,5625.0,False
5543482,0.2948275,2e-07,55000.186215,0.017215,0.8,74.2128,9.1957,15.734,5156.0,False
10123627,0.2949393,2e-07,54964.807405,0.017639,0.96,77.005,18.8392,15.498,4454.0,False
9665086,0.2965356,2e-07,55000.079903,0.012011,0.69,80.3021,10.0094,13.877,-1.0,False
11244501,0.2966763,2e-07,54953.815356,0.015727,0.89,80.8848,14.5094,9.849,5151.0,True
7884426,0.2967316,2e-07,54964.67495,0.016277,0.95,75.213,13.8958,15.113,5285.0,False
7740566,0.2970627,2e-07,55113.454311,0.017385,0.81,74.1432,15.6199,15.611,5526.0,False
2715007,0.2971105,2e-07,54964.782119,0.018796,0.87,70.7132,9.8126,14.73,5598.0,False
6471048,0.297228,2e-07,54953.685654,0.018704,0.77,76.8469,6.7949,12.836,4850.0,False
6046061,0.2972557,2e-07,54919.45441,0.015453,0.7,74.1341,10.6042,14.988,4563.0,False
7130044,0.297665,2e-07,54964.695612,0.016644,0.76,76.1721,9.6928,14.302,5047.0,False
5557368,0.2979309,2e-07,54953.768264,0.017859,0.93,75.3927,7.1645,12.65,5143.0,False
7941050,0.2979811,2e-07,54964.782894,0.018792,0.86,73.5165,18.1038,14.981,5069.0,False
10149237,0.2979959,2e-07,54951.244018,0.015818,0.93,80.0792,12.0526,15.183,5013.0,False
10880490,0.2980053,2e-07,54964.857887,0.016751,0.75,82.2853,10.2966,15.239,5807.0,False
4651526,0.2981451,3.3e-06,54999.972379,0.017436,0.95,71.9707,11.4159,14.754,6241.0,False
5617953,0.298696,2e-07,55002.067477,0.016044,0.76,73.0955,11.5756,15.885,5289.0,False
11604958,0.2989297,2e-07,54964.653176,0.01514,0.73,80.6097,16.8182,13.935,5286.0,False
5961327,0.299202,2e-07,54964.708008,0.015779,0.76,73.8531,11.1144,15.417,4842.0,False
11127048,0.2993229,2e-07,54964.78619,0.016569,0.94,79.0964,18.0611,15.221,5448.0,False
8309175,0.2995914,2e-07,54964.74857,0.016805,0.93,77.5362,10.5035,15.28,5473.0,False
11496078,0.2997192,2e-07,54953.599863,0.018848,0.88,79.6213,18.6903,13.475,5891.0,True
4036687,0.2997993,3.3e-06,55000.292216,0.018135,0.89,69.4926,15.2248,15.22,6200.0,False
5881838,0.3003313,2e-07,55005.795225,0.01591,0.73,74.1895,10.1299,14.737,5093.0,False
2996347,0.3010109,2e-07,55002.146322,0.018906,0.9,71.2994,9.2171,15.448,5445.0,False
7597095,0.3012058,2e-07,54964.709147,0.016177,0.76,74.3288,14.6371,14.199,4915.0,False
11716688,0.3012184,2e-07,54964.845939,0.015958,0.93,82.2529,13.8121,13.647,5130.0,False
9274472,0.3020905,2e-07,54964.726022,0.019634,0.9,77.0242,15.0968,13.919,5112.0,False
4074708,0.3021166,2e-07,54964.856673,0.016123,0.74,73.22,7.6524,15.37,5308.0,False
8394040,0.3021265,2e-07,54964.878453,0.018159,0.79,79.4682,7.3569,14.457,5697.0,False
8625469,0.3022458,3.5e-06,55000.520801,0.017512,0.78,76.9634,12.7073,17.658,5298.0,False
9161428,0.3025934,3e-07,55002.082455,0.016027,0.92,78.4411,11.5496,15.119,5535.0,False
8298344,0.3028751,2e-07,54964.796026,0.01484,0.93,76.2502,12.9744,15.354,5023.0,False
9948201,0.303181,2e-07,54964.901895,0.016662,0.89,78.5058,14.5958,14.372,5791.0,False
4941060,0.3034224,2e-07,54964.691063,0.016973,0.75,74.1958,7.8666,15.38,5197.0,False
10355671,0.3036296,2e-07,54953.637054,0.015054,0.95,81.225,10.5992,13.599,5224.0,False
7877062,0.3036515,2e-07,54964.778743,0.017254,0.82,74.0539,16.2785,13.827,5484.0,False
