title  Photometry data for APASS_J200615.5+442725 from search centered on 20_06_15.5_+44_27_24.6 using the apass calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
APASS_J200615.5+442725	2413672.832193	1896.309651	12.43	 0.42	12.88	301.56894	 44.45885	 82.9	0.381	i14981	151	343974016	1080688643	657	0.000700	7,13,15,23,26,28	0,1,17,19,21,22,30	0,4,7,9
APASS_J200615.5+442725	2413753.815759	1896.530917	11.98	 0.09	14.57	301.56473	 44.45732	-19.5	0.433	i15463	152	33554560	1349386243	641	0.000700	7,25	0,1,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2413769.670890	1896.574237	12.32	 0.09	14.23	301.56483	 44.45734	 86.1	0.354	i15539	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2413791.640672	1896.634264	12.36	 0.44	12.95	301.56160	 44.45499	 38.6	0.523	i15728	151	310411392	1080688643	656	0.000700	7,15,23,25,28	0,1,17,19,21,22,30	4,7,9
APASS_J200615.5+442725	2413807.667445	1896.678053	12.85	 0.07	13.96	301.56722	 44.45898	 85.8	0.417	i15872	152	75497600	1349388291	528	0.000700	7,23,26	0,1,11,17,18,19,21,22,28,30	4,9
APASS_J200615.5+442725	2413823.658366	1896.721744	12.39	 0.09	13.63	301.56478	 44.45732	 63.5	0.510	i15963	151	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2413852.498152	1896.800541	12.52	 0.59	13.06	301.56172	 44.45517	 40.4	0.387	i16191	151	276856960	1080688643	657	0.000700	7,15,23,28	0,1,17,19,21,22,30	0,4,7,9
APASS_J200615.5+442725	2413857.566346	1896.814389	12.25	 0.07	14.22	301.56493	 44.45729	-81.3	0.241	i16260	151	128	1345259520	513	0.000700	7	11,16,17,18,19,21,28,30	0,9
APASS_J200615.5+442725	2413905.525567	1896.945425	12.27	 0.45	13.00	301.56187	 44.45486	 35.4	0.447	i16731	152	302022784	23724035	656	0.000700	7,15,25,28	0,1,17,19,21,22,24	4,7,9
APASS_J200615.5+442725	2413937.473157	1897.032803	12.45	 0.37	13.11	301.56309	 44.45559	 43.6	0.582	i17048	152	268468352	1080754178	656	0.000700	7,15,28	1,16,17,19,21,22,30	4,7,9
