title  Photometry data for N0302221335 from search centered on 20_06_15.4553_+44_27_24.793 using the gsc2.3.2 calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
N0302221335	2413405.753393	1895.578776	12.41	 0.26	14.07	301.56467	 44.45727	-54.0	0.267	i13143	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413408.683246	1895.586803	12.42	 0.35	13.21	301.56477	 44.45735	 35.5	0.227	i13161	103	128	1349477376	0	0.000700	7	10,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413436.639280	1895.663395	12.39	 0.27	14.03	301.56469	 44.45724	 53.5	0.316	i13301	103	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413436.656940	1895.663444	12.27	 0.32	13.55	301.56430	 44.45739	 21.9	0.145	i13302	103	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413436.793613	1895.663818	12.42	 0.36	12.60	301.56499	 44.45631	 76.7	0.325	a01627	97	343974016	1080713219	0	0.007500	7,13,15,23,26,28	0,1,13,14,17,19,21,22,30	UNINIT
N0302221335	2413438.614588	1895.668807	12.25	 0.32	13.98	301.56479	 44.45717	-40.7	0.440	a01635	97	0	1349476352	0	0.007500		13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413438.624443	1895.668834	12.12	 0.26	14.46	301.56472	 44.45692	 -0.4	0.149	i13317	97	128	1349478400	0	0.000700	7	11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413439.746354	1895.671908	12.23	 0.21	13.09	301.56414	 44.45684	 81.3	0.334	i13366	97	67108864	1349410819	0	0.000700	26	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413441.569806	1895.676904	12.70	 0.31	13.85	301.56695	 44.45750	 22.4	0.428	i13421	97	8388736	1349476354	0	0.000700	7,23	1,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413449.704382	1895.699190	12.91	 0.39	13.71	301.56344	 44.45568	 41.0	0.554	a01663	97	369131648	23724035	0	0.007500	7,15,25,26,28	0,1,17,19,21,22,24	UNINIT
N0302221335	2413450.581362	1895.701593	12.18	99.00	12.53	301.56476	 44.45738	-66.8	0.549	a01670	97	12288	1349410816	0	0.007500	12,13	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413468.526551	1895.750758	12.27	 0.32	13.09	301.56440	 44.45714	 57.7	0.389	i13578	103	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413503.532722	1895.846665	12.02	 0.29	12.71	301.56473	 44.45719	 51.1	0.307	i13780	103	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
